smiles,source
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)n[nH]1,derivative
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)no1,derivative
CN(C)c1cc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)on1,derivative
CN(C)c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cc(N(C)C)nc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n1,derivative
CN(C)c1cc(Nc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,derivative
CN(C)c1cc(Nc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,derivative
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)no1,derivative
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)on1,derivative
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,derivative
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,derivative
