compound_id,source,smiles,seed,best_affinity_kcal_mol
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.812
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-7.815
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-7.822
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.714
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2001,-8.712
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2002,-8.735
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.944
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.939
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.943
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.026
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-8.012
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-8.027
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.863
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.932
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.809
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.838
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-7.819
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-8.527
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.756
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.817
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.811
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.66
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.653
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.718
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-9.153
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-9.149
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.863
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.942
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.965
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.984
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.383
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-8.366
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-8.362
